俯仰角,海拔高度,像素数
-76.3,20.845,1398472
-82.7,23.634,1421476
-82.7,27.076,1422029
-82.7,23.111,1417071
-82.7,24.375,774958
-82.7,24.07,797760
-82.7,24.002,798451
-82.7,28.862,356044
-82.7,33.381,195844
-82.7,57.44,37942
-82.7,62.512,30767
-82.7,67.581,25262
-82.7,72.853,20877
-82.7,72.836,20958
-90.0,72.827,22326
-90.0,67.917,26574
-89.9,62.32,31256
-89.9,56.779,39666
-90.0,51.527,51325
-90.0,51.59,50920
-90.0,51.734,50700
-89.9,46.552,67054
-90.0,46.441,67672
-90.0,46.512,67063
-90.0,36.805,134199
-90.0,31.756,214846
-89.9,26.195,413684
-90.0,23.563,626320
-90.0,21.192,995112
-90.0,18.468,1997447
-82.7,37.581,128622
-82.7,42.639,87765
-82.7,47.667,63575
-82.7,47.526,63400
-82.7,52.453,48061
-82.7,52.498,47974
